text{ key = "items.bracelet.description", value = "Permet de soulever les rochers" }
text{ key = "items.bracelet.name", value = "Bracelet de Force" }
text{ key = "items.fire_seed.description", value = "BRULE PUTAIN BRULE" }
text{ key = "items.fire_seed.name", value = "Graine de feu" }
text{ key = "items.horn.description", value = "? ? ?" }
text{ key = "items.horn.name", value = "Corne de Guerre" }
text{ key = "items.ring_octorock.description", value = "Augmente vos dégats sur les Octoroks" }
text{ key = "items.ring_octorock.name", value = "Anneau Octorok" }
text{ key = "items.rock_feather.description", value = "Permet de sauter" }
text{ key = "items.rock_feather.name", value = "Plume de Roc" }
text{ key = "menus.quest.qheart.description", value = "Collectez-en 4 pour obtenir un coeur supplémentaire !" }
text{ key = "menus.quest.qheart.name", value = "Quart de coeur" }
text{ key = "menus.quest.save.description", value = "Sauvegarder la partie" }
text{ key = "menus.quest.save.name", value = "Sauver" }
text{ key = "menus.quest.settings.description", value = "Changer les paramètres du jeu" }
text{ key = "menus.quest.settings.name", value = "Options" }
